"","Kabupaten","ILLITERATE","LOWEDU","NOELECTRIC","FHEAD","FEMALE","ELDERLY","FAMILYSIZE","CHILDREN","NOTRAINING","DPRONE","RENTED","NOSEWER","TAPWATER","kemiskinan","Geo.Laju.Pertumbuhan","UNEMPLOY","Population"
"1",1101,5.019033186,25.65208668,1.425643767,13.11146752,48.77590901,2.184700509,4.058094984,7.999956086,92.71585138,48.81047848,4.882829903,22.89049274,5.595651787,20.2,1.249634166,2.490298373,91372
"2",1102,10.98267021,28.7247149,1.07433655,13.16721954,49.68611677,2.296480805,4.479568758,13.51717522,97.90033172,73.08504222,6.67973462,20.01281665,13.40470446,22.11,2.287937103,5.869467028,119490
"3",1103,7.717708677,29.7794412,0.50242042,20.73676104,50.77554271,4.903403386,4.236907731,9.43677942,98.76228546,77.13620361,3.337245122,31.78817662,6.98070999,14.07,1.521355784,6.883322488,231893
"4",1104,6.673470052,16.7915821,2.01709612,17.78283418,50.09882757,2.735836322,4.252137015,11.18920899,99.87905623,94.28079454,4.046491606,43.54590739,20.30420433,14.86,2.109057338,4.47929662,208481
"5",1105,6.648225739,32.83977649,0.600965249,19.47374379,50.048859,2.756701347,4.296572234,11.68376732,99.75611513,82.23653745,2.324624139,26.79337703,12.98558301,15.25,2.022934328,6.545363701,419594
"6",1106,4.782372385,22.40793087,0,12.68291786,49.76882138,2.960561912,3.737517465,11.31201243,97.65791602,85.70299287,8.956540922,16.3596588,12.6865946,16.84,2.030606661,4.365625849,204273
"7",1107,5.45605905,26.01127542,2.297081046,17.03972289,49.46048541,3.381555874,4.066198068,10.2378248,93.65568092,36.26511637,8.096501712,23.30706747,9.356452691,20.28,2.021413499,5.852456833,201682
"8",1108,6.127999822,23.68550412,0.818260121,21.38505494,48.93868967,3.948958835,4.275582446,11.57270467,97.88029663,77.29354425,5.947354047,15.0459024,12.57536606,15.41,2.030971805,8.265885012,409109
"9",1109,8.117851976,26.04742821,1.957438265,25.91575259,51.58659067,5.429495688,3.932434159,10.33616136,97.42475954,46.90825136,3.344527386,43.46699275,4.498001497,21.43,1.557670482,6.260147658,432599
"10",1110,4.87369459,28.95379069,1.097357727,28.44422389,50.95862698,4.389741815,4.220904103,9.788798161,99.5028183,76.21205595,5.54764892,22.08198348,12.37617273,15.87,2.073580522,3.638575152,453224
"11",1111,6.970597461,32.63180691,2.104368158,24.22999256,50.6176624,3.71497067,4.252998902,10.24311658,99.29216707,67.98597088,1.455344174,28.3537039,20.9466114,19.78,1.537617838,9.312705173,602554
"12",1112,7.161864562,31.37247022,0.955285185,20.59619753,50.4634575,4.357534199,4.515200548,9.874918163,98.99803964,84.49761957,2.417773905,43.1496406,0.336061238,18.31,1.685528605,2.974143044,145726
"13",1113,9.677379064,28.04046235,0.699450738,13.6199794,50.41037861,3.274203512,3.889804325,11.67703645,99.02162719,90.25489186,8.444902163,45.76038448,16.59800893,21.97,1.695657416,1.529437323,91024
"14",1114,4.536486822,27.48373822,0.282011975,14.66173025,49.57655566,3.275312251,4.136002083,11.20571493,98.57258554,96.39458537,6.506522431,9.840048593,21.16102161,14.69,1.504994278,3.680243033,287007
"15",1115,10.2114787,28.96754512,0.489675801,16.34745272,49.57113759,4.213876829,3.872563682,9.605023016,98.52614821,79.47703589,1.290524894,27.18544963,0,19.34,1.997559176,3.425499439,161329
"16",1116,8.814088553,31.2934946,0,16.2370704,48.1627753,3.938112174,3.717425759,10.16952956,94.96996997,26.9686353,2.047881215,21.04604605,15.06089423,14.85,2.080499653,4.9967034,89618
"17",1117,4.88470492,19.1778453,0.838846256,14.45091294,49.24399958,2.501674127,3.754035459,10.37112748,93.99841228,58.10267266,5.469700979,7.827467584,21.15109817,21.14,1.915720117,1.297127237,142526
"18",1118,6.967366842,24.30462479,0.283031705,26.30834127,51.26844539,5.952535592,4.190175534,9.960511275,95.84705402,40.08980814,0.721186556,35.67288066,24.04408763,21.82,2.111716113,4.056706979,154795
"19",1171,3.074550395,12.57666795,0.09705222,18.99760991,48.58557858,2.195185129,3.746751648,10.50657821,88.35518215,48.41312378,32.85434924,1.454334758,60.26942855,7.44,1.874785518,7.922979537,259913
